asset,date,br
638,2014,0
638,2015,0
638,2016,0
638,2017,0
638,2018,0
638,2019,0
638,2020,0
638,2021,0
639,2014,0
639,2015,0
639,2016,0
639,2017,0
639,2018,0
639,2019,0
639,2020,0
639,2021,0
650,2014,0
650,2015,0
650,2016,0
650,2017,0
650,2018,0
650,2019,0
650,2020,0
650,2021,0
651,2014,3.33E-05
651,2015,1.19E-05
651,2016,0
651,2017,0
651,2018,1.81E-05
651,2019,0
651,2020,0
651,2021,8.17E-06
652,2014,0
652,2015,9.78E-06
652,2016,2.96E-05
652,2017,0
652,2018,0
652,2019,0
652,2020,0
652,2021,7.86E-06
655,2014,0
655,2015,0
655,2016,0
655,2017,0
655,2018,0
655,2019,0
655,2020,0
655,2021,0
656,2014,0
656,2015,0
656,2016,0
656,2017,0
656,2018,0
656,2019,0
656,2020,0
656,2021,0
657,2014,0
657,2015,0
657,2016,1.69E-05
657,2017,0
657,2018,0
657,2019,0
657,2020,0
657,2021,0
659,2014,0
659,2015,0
659,2016,0
659,2017,0
659,2018,0
659,2019,1.06E-05
659,2020,0
659,2021,0
661,2014,0
661,2015,0
661,2016,0
661,2017,0
661,2018,0
661,2019,0
661,2020,0
661,2021,1.01E-05
663,2014,0
663,2015,0
663,2016,0
663,2017,0
663,2018,0
663,2019,0
663,2020,0
663,2021,0
665,2014,0
665,2015,2.60E-05
665,2016,5.22E-05
665,2017,2.20E-05
665,2018,0
665,2019,0
665,2020,0
665,2021,0
667,2014,0
667,2015,0
667,2016,0
667,2017,0
667,2018,9.35E-06
667,2019,0
667,2020,0
667,2021,0
668,2014,0
668,2015,0
668,2016,0
668,2017,1.40E-05
668,2018,1.40E-05
668,2019,0
668,2020,0
668,2021,0
669,2014,0
669,2015,0
669,2016,0
669,2017,0
669,2018,0
669,2019,0
669,2020,0
669,2021,0
670,2014,0
670,2015,0
670,2016,0
670,2017,0
670,2018,0
670,2019,0
670,2020,0
670,2021,0
671,2014,0
671,2015,0
671,2016,0
671,2017,0
671,2018,0
671,2019,0
671,2020,0
671,2021,0
672,2014,4.32E-05
672,2015,9.10E-05
672,2016,2.61E-05
672,2017,0.000114742
672,2018,4.79E-05
672,2019,0.000133611
672,2020,0
672,2021,0
676,2014,0
676,2015,0
676,2016,0
676,2017,0
676,2018,0
676,2019,0
676,2020,0
676,2021,0
677,2014,0
677,2015,0
677,2016,1.62E-05
677,2017,1.65E-05
677,2018,0
677,2019,0
677,2020,0
677,2021,0
678,2014,0
678,2015,0
678,2016,0
678,2017,1.76E-05
678,2018,0
678,2019,0
678,2020,0
678,2021,0
679,2014,0
679,2015,0
679,2016,0
679,2017,0
679,2018,0
679,2019,0
679,2020,0
679,2021,0
680,2014,1.23E-05
680,2015,9.95E-05
680,2016,8.54E-05
